key,en,de (CH),de,ja,ru
world_chess,Chess,Schach,Schach,チェス,Шахматы
menu_option_phone_brightness,LCD Brightness,LCD Helligkeit,LCD Helligkeit,LCD明度,Яркость LCD
<!MissingKey:2:play flute>,play flute,Foto Aufnehmen,Flöte spielen,笛を吹く,сыграть на флейте
world_background,Background,Hintegrund,Hintergrund,背景,Обои
world_greenhouse,Greenhouse,x,Grünhaus,温室,Теплица
world_vision,Vision,Visionen,Visionen,幻,Зрение
wallpaper_mars,Mars,Mars,Mars,火星,Марс
wallpaper_puddle,Puddle,Pfütze,Pfütze,水たまり,Лужа
credits_dreamers,dreamers,Träumer (Patreon?),Träumer,夢見る人,мечтатели
wallpaper_architecture,Architecture,Architektur,Architektur,建築,Архитектура
phone_searching_signal,Searching...,Suche...,Suche...,検索中…,Поиск...
wallpaper_flowers,Flowers,Blumen,Blumen,花,Цветы
menu_new_save_warning_info,Your current progress will be reset.,Dein aktueller fortschritt wird zurückgesetzt.,Dein aktueller fortschritt wird zurückgesetzt.,進捗きえちゃうよ,Ваш текущий прогресс будет сброшен.
end_continued,to be continued...,,Fortsetzung folgt...,つづく,продолжение следует...
world_underwater,Depths,Tiefe,Tiefe,深淵,Глубины
world_playspace,Playspace,,Spielplatz,遊び場,Игровая
credits_japanese,japanese,Japanisch,Japanisch,日本語,японский
menu_nav_ok,OK,OK,OK,OK,ОК
<!MissingKey:18:Blocks>,Blocks,Blut Mond,Blöcke,ブロック,Блоки
menu_audio_footstep,Footsteps,Fussschritte,Fußschritte,足音,Шаги
keyboard_gamepad_left,left,,Links,左,влево
menu_setting_display,Display,Zeigen,Anzeige,映像,Дисплей
<!MissingKey:22:the “i’m proud to have made something <3” award>,the “i’m proud to have made something <3” award,Jenseits,"Das ""Ich bin stolz dass ich was zustande gebracht hab <3"" Award",「何か作れて誇らしい♡」賞,"Награда ""Я счастлива, что что-то создала <3"""
wallpaper_jellyfish,Jellyfish,qualle  ??? i like that word,Qualle,クラゲ,Медуза
menu_exit_end_game_alt,End Her,Töte sie,Töte sie,少女終了,Завершить Её
<!MissingKey:25:flute>,flute,Klippe,Flöten,笛,флейта
world_neighbourhood,Neighbourhood,Nachbarschaft,Nachbarschaft,住宅街,Соседство
menu_audio_music,Music,Musik,Musik,音楽,Музыка
wallpaper_beach,Beach,Strand,Strand,浜辺,Пляж
